ID,DENOM,TIPO,N_EDIZ,DESCRIZ,DATA_IN,ORA_IN,DATA_FINE,ORA FINE,ANNO,PROV,ISTAT,COMUNE,TOPONIMO,INDIRIZZO,CIVICO,CAP,SOMMINIS,SITO_WEB,NOME_ORG,PROGRAMMA,GEN_AUTOMATICA_PROGRAMMA,GEO_X,GEO_Y,location
20383,SAGRA DI GERNO 2024,Sagra,42,sagra di Gerno 2024.,03/06/2024,18:00,08/07/2024,23:59,2024,MB,108026,LESMO,VIA,A. VOLTA,35,20855,S,www.4campanililesmo.it,DON MAURO VIGANO',https://www.procedimenti.servizirl.it/sagre/public/programma/20383,NO,9.29022761,45.64399265,POINT (9.29022761 45.64399265)
18834,FESTA DELL'UVA,Fiera,0,,29/09/2024,00:00,29/09/2024,23:59,2024,BS,017081,GUSSAGO,PIAZZA,VITTORIO VENETO,,25064,S,,COMUNE DI GUSSAGO,https://www.procedimenti.servizirl.it/sagre/public/programma/18834,SI,10.1541048,45.592776,POINT (10.1541048 45.592776)
19345,GESSETTI DI SAN ROCCO 2024,Sagra,1,,22/09/2024,10:00,22/09/2024,18:00,2024,MN,020001,ACQUANEGRA SUL CHIESE,VIA,GRAMSCI,SNC,46011,S,,PROLOCO ACQUANEGRA SUL CHIESE,https://www.procedimenti.servizirl.it/sagre/public/programma/19345,SI,10.43125227,45.16553208,POINT (10.43125227 45.16553208)
19336,SAGRA DI SANTO STEFANO,Sagra,43,ESPOSIZIONE BANCHETTI,26/12/2024,08:00,26/12/2024,23:59,2024,BS,017055,CIVIDATE CAMUNO,PIAZZA,PIAZZA FIAMME VERDI,25040,25040,S,,PRO-LOCO DI CIVIDATESE,https://www.procedimenti.servizirl.it/sagre/public/programma/19336,SI,10.26570199,45.93885129,POINT (10.26570199 45.93885129)
19855,STAFFETTA DI CORSA IN MONTAGNA,Sagra,N.D,gara nazione di Corsa in montagna a staffetta maschile e individuale femminile,18/05/2024,19:00,19/05/2024,00:01,2024,BG,016124,LEFFE,VIA,RE,0,24026,S,trofevallibg.it,ATLETICA VALLI BERGAMASCHE,https://www.procedimenti.servizirl.it/sagre/public/programma/19855,NO,9.89269742,45.79554622,POINT (9.89269742 45.79554622)
19388,SAGRA DI SAN COLOMBANO,Sagra,2024,"Esposizione auto e moto d¿epoca, mestieri di una volta, mercatino degli hobbistiSomministrazione di prodotti tipici locali.",24/11/2024,10:00,24/11/2024,18:00,2024,MN,020065,SUZZARA,STRADA,LUIGI BECAGLI,-,46029,S,,ASSOCIAZIONE RIVA PER RIVA,https://www.procedimenti.servizirl.it/sagre/public/programma/19388,NO,10.71087739,44.97863255,POINT (10.71087739 44.97863255)
19221,PIC-NIC FONTANEDO,Sagra,1,,02/06/2024,10:00,02/06/2024,17:00,2024,LC,097023,COLICO,LOCALITA',FONTANEDO,,23823,S,,PRO LOCO COLICO,https://www.procedimenti.servizirl.it/sagre/public/programma/19221,NO,9.356803,46.13399212,POINT (9.356803 46.13399212)
20271,RADUNO ALPINO PRATO VALENTINO,Sagra,33,TADIZIONALE SAGRA ALPINI TEGLIO,03/08/2024,19:00,04/08/2024,18:00,2024,SO,014065,TEGLIO,LOCALITA',BOLONE PRATO VALENTINO,23036,23036,S,,GRUPPO ALPINI TEGLIO,https://www.procedimenti.servizirl.it/sagre/public/programma/20271,SI,10.05947078,46.18615884,POINT (10.05947078 46.18615884)
18763,ROLLING TRUCK STREET FOOD,Sagra,0,STREET FOOD E PICCOLI TRATTENIMENTI MUSICALI,07/06/2024,18:00,09/06/2024,23:59,2024,SO,014045,MORBEGNO,PIAZZA,S. ANTONIO,23017,23017,S,,NOVA EVENTI DI DE CARO MARIANNA,https://www.procedimenti.servizirl.it/sagre/public/programma/18763,SI,9.57260943,46.13282001,POINT (9.57260943 46.13282001)
18724,SERATA DANZANTE,Sagra,5,SERATA DANZANTE E DISCOTECA CON SERVIZIO BAR,03/10/2024,21:00,03/10/2024,23:59,2024,SO,014071,VALDIDENTRO,LOCALITA',RASIN,23038,23038,S,,GIOVENTU' PEDENOSSO,https://www.procedimenti.servizirl.it/sagre/public/programma/18724,NO,10.31450879,46.48642655,POINT (10.31450879 46.48642655)
